season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2022,Air Force,Mountain West,249.5,57.7,28.1,163.7,0.725,0.997,0.309,0.839,0.852,0.917,0.392,0.892
2022,Akron,Mid-American,52.9,4.7,43.5,4.6,0.253,0.086,0.349,0.155,0.485,0.343,0.29,0.806
2022,Alabama,SEC,401.7,243.9,117.3,40.5,0.555,0.896,0.313,0.525,0.586,0.962,0.276,0.446
2022,Appalachian State,Sun Belt,304.1,165.3,41.6,97.3,0.561,0.967,0.15,1.031,0.68,0.943,0.211,0.751
2022,Arizona,Pac-12,158.1,56.8,79.1,22.2,0.569,1,0.42,0.677,0.825,1,0.406,0.925
2022,Arizona State,Pac-12,54.3,7.5,31.4,15.3,0.136,0.082,0.195,0.105,0.134,0.03,0.223,0.169
2022,Arkansas,SEC,279.6,116.7,58,105,0.684,1.007,0.315,0.961,0.744,0.981,0.398,0.759
2022,Arkansas State,Sun Belt,92.1,10,79.1,3.1,0.181,0.039,0.321,0.585,0.231,0.14,0.416,0.28
2022,Army,FBS Independents,174.8,-1.6,63.5,112.9,0.605,-0.038,0.832,0.658,0.525,0.179,0.802,0.549
2022,Auburn,SEC,177.1,4.4,102.6,70.2,0.453,0.046,0.539,0.674,0.558,0.288,0.596,0.833
2022,Ball State,Mid-American,100.3,5.8,90.6,4,0.367,0.075,0.625,0.079,0.459,0.071,0.596,0.766
2022,Baylor,Big 12,91.2,28.1,46.6,16.5,0.21,0.257,0.26,0.114,0.171,0.263,0.219,0.069
2022,Boise State,Mountain West,283.7,147.8,115.4,20.5,0.648,1.027,0.442,0.614,0.635,0.981,0.388,0.442
2022,Boston College,ACC,206.3,49.1,115,42.1,0.641,0.538,0.656,0.756,0.597,0.369,0.684,0.722
2022,Bowling Green,Mid-American,90.6,26.5,39,25.1,1.041,1.157,1,1,0.992,0.982,1,1
2022,Buffalo,Mid-American,66.7,8.3,57.1,1.3,0.3,0.116,0.592,0.024,0.333,0.262,0.539,0.259
2022,BYU,FBS Independents,300.9,113.4,143,44.6,0.607,0.801,0.665,0.319,0.578,0.826,0.603,0.336
2022,California,Pac-12,64.1,,34.6,29.5,0.214,0,0.25,0.35,0.226,0,0.265,0.547
2022,Central Michigan,Mid-American,257.7,101,107.5,49.2,0.675,0.781,0.559,0.812,0.698,0.66,0.473,0.91
2022,Charlotte,Conference USA,387.5,148.5,197.4,41.6,0.839,1,0.729,0.979,0.916,1,0.715,0.99
2022,Cincinnati,American Athletic,152.1,-0.4,113.5,38.9,0.273,-0.003,0.533,0.18,0.241,0.033,0.564,0.201
2022,Clemson,ACC,218.5,44.1,96.1,78.3,0.469,0.204,0.656,0.763,0.621,0.492,0.658,0.807
2022,Coastal Carolina,Sun Belt,321.1,173.6,56.3,91.3,0.573,0.936,0.247,0.622,0.619,0.99,0.189,0.627
2022,Colorado,Pac-12,131.2,22.7,91.3,17.2,0.694,0.596,0.74,0.635,0.717,0.986,0.604,0.56
2022,Colorado State,Mountain West,95.9,-0.8,117.3,-20.6,0.277,-0.007,0.571,-1.114,0.422,0.003,0.519,0.744
2022,Connecticut,FBS Independents,92.1,6.2,75.5,10.4,0.404,0.473,0.4,0.398,0.315,0.177,0.439,0.345
2022,Duke,ACC,108,6.4,80.6,21,0.364,0.071,0.533,0.38,0.329,0.218,0.503,0.299
2022,East Carolina,American Athletic,322.5,125.2,146.8,50.6,0.754,0.917,0.601,1.07,0.873,0.986,0.574,0.982
2022,Eastern Michigan,Mid-American,175.8,10.6,150,15.2,0.504,0.092,0.804,0.327,0.45,0.014,0.871,0.584
2022,Florida,SEC,155,19.4,103.1,32.5,0.306,0.129,0.439,0.269,0.302,0.164,0.496,0.286
2022,Florida Atlantic,Conference USA,152.7,55.9,66.9,29.9,0.825,1.081,0.638,1.064,0.746,0.88,0.606,0.679
2022,Florida International,Conference USA,93.6,8.1,79.3,6.2,0.424,0.098,0.595,1.107,0.351,0.085,0.515,0.872
2022,Florida State,ACC,265.1,68.9,137.3,58.9,0.736,0.758,0.776,0.642,0.598,0.595,0.651,0.565
2022,Fresno State,Mountain West,479.4,206.5,243.5,29.4,0.855,0.987,0.754,1.017,0.791,0.998,0.747,0.557
2022,Georgia,SEC,395.3,137.8,197.4,60.1,0.685,0.768,0.714,0.499,0.63,0.773,0.721,0.454
2022,Georgia Southern,Sun Belt,67.1,2.3,57.9,6.9,0.729,0.158,0.973,0.392,0.396,0.179,0.81,0.399
2022,Georgia State,Sun Belt,283.4,73.1,103.6,106.7,0.829,0.956,0.682,0.935,0.769,0.715,0.634,0.852
2022,Georgia Tech,ACC,169.4,63.7,65.2,40.6,0.634,0.81,0.449,0.953,0.428,0.537,0.413,0.339
2022,Hawai'i,Mountain West,79.7,11.5,46.7,21.4,0.27,0.129,0.348,0.298,0.304,0.259,0.313,0.359
2022,Houston,American Athletic,417.8,183.4,186.4,48,0.769,1.017,0.605,0.889,0.834,0.998,0.636,0.818
2022,Illinois,Big Ten,131.8,-1.9,74.9,58.8,0.558,-0.045,0.642,0.76,0.694,0.504,0.683,0.841
2022,Indiana,Big Ten,30.4,4.6,9.3,16.4,0.245,0.354,0.104,0.781,0.377,0.585,0.194,0.29
2022,Iowa,Big Ten,182.9,34.8,120.6,27.4,0.871,1.009,0.744,2.108,0.648,0.998,0.657,0.317
2022,Iowa State,Big 12,128.9,7.3,111.2,10.4,0.308,0.051,0.521,0.165,0.216,0.057,0.503,0.148
2022,Kansas,Big 12,218.2,82.1,100.1,36,0.732,0.916,0.569,1.108,0.722,0.944,0.511,0.714
2022,Kansas State,Big 12,187.7,14.5,100.7,72.4,0.535,0.133,0.686,0.758,0.585,0.257,0.784,0.746
2022,Kent State,Mid-American,230.3,4.2,113.7,112.3,0.449,0.037,0.539,0.598,0.477,0.057,0.579,0.738
2022,Kentucky,SEC,279.1,111.4,38.9,128.8,0.633,1.116,0.192,0.925,0.659,0.772,0.263,0.847
2022,Liberty,FBS Independents,139.5,10.9,104.9,23.8,0.364,0.112,0.626,0.202,0.255,0.081,0.538,0.269
2022,Louisiana,Sun Belt,147.4,19.8,103.7,23.9,0.369,0.194,0.571,0.207,0.285,0.04,0.631,0.302
2022,Louisiana Monroe,Sun Belt,192.2,65.3,105,21.9,0.828,0.81,0.84,0.836,0.766,0.626,0.766,0.885
2022,Louisiana Tech,Conference USA,89.7,0.9,100.9,-12.1,0.298,0.007,0.624,-1.681,0.27,0.003,0.696,0.237
2022,Louisville,ACC,391.1,142.5,144.1,104.5,0.641,0.697,0.573,0.678,0.653,0.628,0.592,0.708
2022,LSU,SEC,214,18.7,189,6.2,0.481,0.128,0.722,0.163,0.287,0.139,0.706,0.118
2022,Marshall,Conference USA,135.1,,61.7,73.4,0.477,0,0.588,0.759,0.413,0,0.681,0.628
2022,Maryland,Big Ten,339.6,155.5,150.5,33.6,0.712,0.901,0.591,0.675,0.676,0.964,0.474,0.476
2022,Memphis,American Athletic,338,164.3,129.1,44.5,0.753,1.077,0.537,0.795,0.797,0.88,0.524,0.91
2022,Miami,ACC,257.6,132,109.2,16.4,0.667,0.82,0.526,0.948,0.587,0.702,0.39,0.619
2022,Miami (OH),Mid-American,243.5,102.1,98.3,43.2,0.667,0.775,0.529,0.904,0.743,0.718,0.635,0.868
2022,Michigan,Big Ten,345.5,118.3,160.5,66.8,0.783,1.009,0.883,0.472,0.741,0.995,0.845,0.49
2022,Michigan State,Big Ten,339.6,157,156.5,26.1,0.709,0.976,0.685,0.29,0.644,0.975,0.641,0.274
2022,Middle Tennessee,Conference USA,129.5,62.2,44.4,22.9,0.753,1.037,0.466,1.331,0.649,0.94,0.489,0.466
2022,Minnesota,Big Ten,307.1,101.7,160,45.3,0.858,1,0.929,0.54,0.674,1,0.865,0.462
